Accesion	lengh
CZDF01000174.1	2979
AF071413.3	2979
KJ631729.1	2976
AY297781.1	2976
LT599584.1	2973
L14931.1	2973
FP475957.1	2973
KJ439039.1	2973
KU997026.1	2973
AP014810.1	2970
AL954747.1	2970
AB238971.1	2970
AJ431260.1	2970
JX448550.1	2970
AF544991.1	2970
AY327575.2	2970
CBTV010000137.1	2970
CP002152.1	2970
LK931667.1	2967
JX486125.1	2967
HM560971.1	2967
DQ057986.1	2967
KU130294.1	2967
AY821803.1	2967
JX469829.1	2967
HQ730118.1	2967
CCYE01000037.1	2967
CP003204.1	2967
CCAE010000033.1	2967
EF079106.1	2967
AF121000.1	2967
LT222315.1	2967
JN106164.1	2967
KP893385.1	2967
KU130294.1	2967
KC170280.1	2967
KF856624.1	2967
AJ344068.1	2967
AJ251307.2	2967
AB238971.1	2967
EF469735.1	2967
AM039951.1	2964
AJ251743.1	2964
CP003891.1	2964
AY780525.1	2961
CAGJ01000062.1	2961
LXLF01000020.1	2961
CAGJ01000127.1	2961
CCXZ01000015.1	2961
AP010803.1	2958
AP010805.1	2958
CDNB01000043.1	2958
LN997849.1	2955
CP000040.1	2952
LC015492.1	2952
CP004000.1	2952
CP000042.1	2949
LK021128.1	2943
HE999757.2	2940
AGFM01000122.1	2940
AY305378.1	2940
X90708.2	2940
CYGX02000051.1	2934
CYGY02000079.1	2934
FMSH01000496.1	2928
FO203427.1	2925
CU633751.1	2925
KX530813.1	2925
CP002367.1	2919
GU591497.1	2919
HE999757.2	2916
CP001603.1	2916
JN104632.1	2913
AH010657.3	2913
JN127372.1	2904
JNFD01000045.1	2898
FO082821.1	2898
AF110140.1	2895
AP010803.1	2892
M95402.1	2886
GQ468938.1	2883
AY232820.1	2883
AY327575.2	2871
KX029331.1	2859
KC354801.1	2830
HE616891.1	2823
JYHQ01000107.1	2817
CANI01000054.1	2814
KC543497.1	2811
CBSZ010000094.1	2802
U33002.1	2730
AF072896.1	2718
KT922275.1	2712
JN106169.1	2703
AP014646.1	2664
LN681228.1	2586
AM234722.1	2550
CYCY01000048.1	2544
M90749.1	2536
CAHO01000139.1	2532
KF719970.1	2508
AE014300.1	2461
CXPB01000073.1	2451
AE008924.1	2448
AE014299.2	2441
AE014299.2	2441
AE014299.2	2437
CP000355.2	2430
LC075716.1	2406
AP010806.1	2403
JX194160.1	2346
ANGG01000530.1	2340
CP001590.1	2316
FJ948173.1	2316
CP002879.1	2239
LC155908.1	2217
KU254577.1	2216
LC198842.1	2178
AY850399.1	2154
AE014299.2	2148
KJ933392.1	2148
GQ160960.2	2128
DQ839391.1	2127
AE014299.2	2064
KF705206.1	2043
AE014299.2	2010
GU371928.1	2007
KP826703.1	2001
CP001856.1	1986
KT282968.1	1959
CP000354.2	1917
LN794248.1	1851
EF682134.1	1774
KX243414.1	1767
AJ421424.1	1762
CP000864.1	1759
U05888.2	1749
AF148496.1	1734
AE014299.2	1708
FMSH01000107.1	1704
FJ829469.1	1701
CYAM01000068.1	1650
CU459003.1	1623
JX077110.1	1614
DQ875599.1	1611
EF628292.1	1605
AB985521.1	1604
AJ829923.1	1602
KT282968.1	1602
KR822246.1	1590
KT779035.1	1584
AY327575.2	1560
APFX01000025.1	1557
ADOU02000001.1	1557
CP000355.2	1554
AE007872.2	1554
CP015834.1	1548
U66917.2	1548
AF086815.2	1546
KJ588779.1	1545
AJ245804.1	1542
KR822247.1	1539
LC075717.1	1533
EU503121.1	1533
JX570731.1	1530
CP012901.1	1530
KU961660.2	1530
CAGT01000190.1	1527
CP000352.1	1527
CP006772.1	1518
JN106175.1	1491
CP000352.1	1491
AE014299.2	1486
CP003565.1	1476
CP011271.1	1464
BDLP01000034.1	1461
AB238971.1	1458
FJDF01000007.1	1452
KX710093.1	1443
AY823680.1	1438
CAGD01000034.1	1425
EF222275.1	1422
JN630467.1	1422
FJAO01000001.1	1419
JN849689.1	1419
FCOK02000138.1	1416
EU503121.1	1408
HM370391.1	1405
KU666837.1	1404
KT225462.1	1404
KX029332.1	1398
CCWG01000122.1	1398
AY437915.1	1398
AP014809.1	1392
JMTN01000004.1	1392
KX117210.1	1392
CP000352.1	1392
CCKE01000172.1	1380
FLQZ01000083.1	1377
DQ126685.1	1377
JOQR01000001.1	1374
CYEY01000102.1	1374
U66917.2	1371
HQ219726.1	1365
AM420293.1	1359
KX710093.1	1359
JQ318854.1	1359
CYGH01000010.1	1356
GU067641.1	1356
CDAH01000009.1	1350
FCNZ02000046.1	1347
FN806773.1	1347
JEMZ01000267.1	1344
AF403298.1	1341
CT573071.1	1338
CCXZ01000025.1	1335
FN806773.1	1332
JEMY01000043.1	1329
KX356458.1	1329
AM086403.1	1329
AB031212.1	1326
HE577623.1	1326
AY351675.1	1323
AY439015.3	1323
AE014299.2	1323
KF295829.1	1320
KT378598.1	1320
KX810025.1	1320
AF052055.1	1311
U66917.2	1311
AB183145.1	1311
CP002919.1	1311
CCYP01000054.1	1311
AF042490.4	1308
CP003732.1	1308
FN806773.1	1308
LM676437.1	1308
FN806773.1	1308
CDAH01000040.1	1308
FN806773.1	1308
HE577623.1	1306
CP002291.1	1299
FJ866609.1	1296
KJ488943.1	1296
AF109404.1	1296
AM286690.1	1290
ANKQ01000003.1	1290
DQ473406.1	1290
BX571859.1	1290
AOCI01000135.1	1287
AB646744.1	1287
AOCI01000205.1	1287
AM286690.1	1284
JIDP01000002.1	1278
AY779042.1	1272
KP125893.1	1269
CP002474.1	1266
AY939911.1	1263
FCOX02000267.1	1260
HE613569.1	1257
JN106175.1	1257
JN106167.1	1257
AJ318089.1	1257
HE613569.1	1257
HE613569.1	1257
CBSV010000057.1	1254
KP834592.1	1251
AB434906.1	1251
FP885897.1	1251
CP000352.1	1251
JQ690540.1	1251
FP885907.1	1251
AY639948.1	1246
LROM01000066.1	1245
JN106170.1	1245
AY607844.2	1242
DQ257628.1	1239
DQ257629.1	1239
FLLH01000004.1	1239
LN854557.1	1236
AF342826.1	1235
LT608328.1	1233
KU736870.1	1233
KX029332.1	1227
KX029332.1	1227
U13767.1	1224
AOCI01000012.1	1224
CT573071.1	1224
CTRJ01000004.1	1221
FR854090.1	1221
KU167609.1	1221
LN899827.1	1221
BX571965.1	1221
U14952.1	1220
AE014299.2	1219
AF079317.1	1215
AB032203.1	1215
CP000646.1	1215
AF060871.1	1212
ANKQ01000002.1	1212
AE014299.2	1212
FN392238.1	1212
HF545434.1	1209
CP001846.1	1209
FP236842.1	1209
FO203500.1	1209
CP000353.2	1209
AOCI01000042.1	1209
FN649418.1	1209
FP236842.1	1209
FP236842.1	1209
CP002125.1	1209
AE014299.2	1206
AE014299.2	1206
AE014299.2	1206
AF548142.1	1206
LFUT01000004.1	1206
LT599583.1	1206
AE014299.2	1206
KF680002.1	1204
AM286690.1	1203
AE014299.2	1203
AE014299.2	1203
KR259132.1	1203
AE014299.2	1203
AE014299.2	1199
AJ001828.1	1191
KM390023.1	1188
AM409516.1	1183
CP009170.1	1182
CP000354.2	1182
JN208880.1	1179
CR942285.1	1174
KM083808.1	1173
KX810026.1	1173
KC964606.1	1170
AF087482.1	1167
FN568063.1	1167
FN568063.1	1167
CMVG01000038.1	1167
AY305378.1	1167
HF953351.1	1166
FP236842.1	1164
CP002124.1	1161
AE014299.2	1160
KR230047.1	1152
AP010805.1	1143
CDAN01000773.1	1140
U93591.1	1134
KP987215.1	1131
KJ746495.1	1128
X91246.1	1128
DQ147773.1	1126
AE014299.2	1122
AOCI01000035.1	1122
KU254577.1	1122
FN806773.1	1119
CP003891.1	1119
GU371926.1	1119
AE014299.2	1119
CELV01000211.1	1116
FN806773.1	1116
ADMU01000041.1	1113
U93590.1	1110
CALH01000114.1	1107
CP001879.1	1107
AKTZ01000001.1	1104
CP002039.1	1104
AB035483.1	1104
AF100324.1	1101
FR733648.1	1101
CP000353.2	1101
AF026542.1	1096
AF086815.2	1096
AJ233397.3	1092
KC710195.1	1092
KX243412.1	1089
HF565366.1	1086
JQ319423.1	1086
FKRR01000002.1	1086
KX470419.1	1086
FKRS01000031.1	1086
KT862781.1	1086
CDAB01000007.1	1086
FMRQ01000002.1	1086
FMOA01000003.1	1086
JX424614.1	1077
CDAD01000027.1	1077
AE014299.2	1076
EF151283.1	1074
FN806773.1	1074
DQ517526.1	1074
JF729197.1	1066
KM396300.1	1065
JN695267.1	1062
FQ482074.1	1062
EU886978.1	1055
CP002881.1	1050
AY545598.5	1050
CP002881.1	1050
LXLL01000017.1	1047
FJ859895.1	1047
LC198842.1	1044
AM296017.1	1044
KU130294.1	1044
EF614235.1	1044
DQ914960.2	1044
EF408254.1	1044
EF439838.1	1044
KU254577.1	1044
AM749812.1	1044
KU130294.1	1044
JQ629929.1	1044
JX275775.1	1044
CT573073.1	1041
AE014300.1	1041
AJ564386.1	1039
FJ501215.1	1038
KP987218.1	1038
CDAD01000016.1	1038
GQ324956.1	1038
FLQY01000007.1	1038
CP002881.1	1038
AY540995.2	1038
CP000967.2	1038
CDAC01000056.1	1038
FM897214.1	1037
CDAH01000009.1	1035
AE014299.2	1035
DQ167474.1	1035
AY305378.1	1035
L48985.1	1032
JQ796373.1	1032
CP005961.1	1032
JF785549.1	1032
AE014299.2	1032
KT965093.1	1029
KC561054.1	1029
CP000646.1	1029
CP000353.2	1029
KU254577.1	1029
AE014299.2	1027
AE014299.2	1027
AMUK01000170.1	1026
AY148032.1	1026
AY148030.1	1026
AP013357.1	1026
KC609323.1	1026
Z17279.1	1026
EU219534.1	1023
KC170280.1	1023
FJ715942.1	1023
CP000353.2	1020
AY305378.1	1020
FJCC01000059.1	1020
AM258965.2	1020
DQ361537.1	1020
AF099014.1	1017
KU167609.1	1017
HE613569.1	1014
DQ973625.1	1011
CP000352.1	1011
U73041.1	1011
JF714412.2	1011
CP000354.2	1011
KU682281.1	1005
JX041889.1	1005
JN106170.1	1002
KU167609.1	1002
CP000354.2	999
KT364224.1	990
DQ164214.1	984
AF133698.1	984
GQ324957.1	981
HM204990.1	981
CBVQ010000068.1	981
KP987215.1	981
GQ919187.1	981
KP893385.1	981
AF052751.1	981
KX710093.1	981
AF491307.2	981
AY894752.1	981
KX029332.1	981
KT818596.1	981
KC344543.1	976
JX442974.1	975
BBSJ01000031.1	972
CDAG01000005.1	972
KF682462.1	972
JX077110.1	972
X97015.1	971
KF445086.1	969
KU666846.1	969
KJ933392.1	969
KX029332.1	969
KX029332.1	969
KX029332.1	969
KT225462.1	969
JN983042.1	969
U66917.2	969
KF537631.1	969
AJ870469.1	967
CCYY01000041.1	966
AE014299.2	965
DQ174113.1	963
CDAE01000006.1	960
BX936398.1	960
KJ817377.1	954
KP893385.1	951
Y13383.2	951
AF086815.2	949
AM491042.1	948
JN106171.1	948
EF118171.1	948
CDAC01000056.1	948
EF628291.1	948
HE646882.2	946
U75371.3	936
EU850412.1	933
AB262966.1	933
JIDO01000087.1	930
EU402605.1	930
KR066794.1	929
KP826704.1	924
EF011038.1	924
AE014299.2	924
KU961660.2	924
KP900016.1	924
CCES01000010.1	924
KU743384.1	924
HE577112.1	924
AE014299.2	924
KX276209.1	924
AY858559.1	921
HF545435.1	921
AY509004.1	918
HE971709.1	915
AE014299.2	913
JQ364968.1	912
EF577044.1	909
KF295828.1	906
CCYR01000035.1	903
AB220949.1	903
CCYV01000085.1	900
FN568063.1	894
KX094555.1	891
CYGQ01000002.1	891
DQ303459.3	889
HF953351.1	885
CP002124.1	882
EU850412.1	882
AJ344068.1	882
JQ364968.1	879
AE014299.2	879
EF059914.1	879
KR055667.1	876
CP000645.1	870
AB854326.1	869
EU366287.1	867
CDAG01000031.1	867
FQ311873.1	861
JX421697.1	861
AGBU01000010.1	858
CP006248.1	858
AB588180.1	858
AJ344068.1	853
AP014631.1	852
AF102990.1	852
AF232004.3	840
HF545435.1	840
JX843238.1	840
KR066794.1	837
HE616910.2	834
CU459003.1	831
ISSod33	831
JF785549.1	831
CAGD01000002.1	831
HE858529.1	822
KX029332.1	822
CP002474.1	822
AH009976.2	810
JX077110.1	804
CP013672.1	804
JX077110.1	804
HE858529.1	804
CU459003.1	801
GU371926.1	798
KF295828.1	792
JX077110.1	792
AY365053.1	789
CYEF01000005.1	786
CP009435.1	786
AJ534881.1	781
KC609323.1	780
KX118608.1	774
KR780671.1	768
AB304081.1	764
CP010516.1	759
JN849689.1	750
CP001846.1	750
CP006582.1	738
GQ258057.1	736
AEEO01000051.1	732
AP013353.1	732
AP013353.1	732
DQ393661.1	729
AJ849659.1	728
ISSod36	724
AE014299.2	720
EU402605.1	717
JX296013.1	717
CP003901.1	714
AJ311891.3	714
AE014299.2	709
AF141323.1	708
X87144.1	706
HG813238.1	705
JQ241792.1	705
AY177427.1	705
JQ241791.1	705
KC354801.1	702
JN106170.1	702
EU402605.1	696
FIGH01000007.1	696
KP826710.1	694
X92946.1	694
AY509004.1	693
FQ482074.1	693
EU646207.1	690
AY849557.2	687
KR066794.1	687
AF118548.1	687
AB362339.1	687
KJ933392.1	687
AM286416.1	685
AE014299.2	684
KM877517.1	682
AEEH01000035.1	678
KM877517.1	678
AF535087.1	675
HM440049.2	675
AY509004.1	675
AF051917.1	675
KT601170.1	675
JQ764731.1	675
CP008727.1	672
AJ971344.1	671
CCDS01000003.1	669
AF535086.1	666
CP002881.1	666
JQ764731.1	662
CCDT01000001.1	660
CCET01000003.1	660
AB001611.1	660
KJ933392.1	657
ACPY01000017.1	651
APYP01000154.1	651
CP000355.2	648
Z54268.1	645
AM286430.1	639
AEQQ01000129.1	633
CR555306.1	633
JMOZ01000294.1	627
LRIA01000135.1	627
KT225462.1	625
Y18009.2	625
AB024564.1	624
FN806773.1	618
CP011546.1	618
JORG01000037.1	615
KU341381.1	609
AY042783.1	607
AJ422230.1	606
JN232517.1	606
FIID01000012.1	606
CP011273.1	603
JF745030.2	597
AJSK01000032.1	591
LN879484.1	588
AB035324.1	582
Y17752.1	579
CDAG01000031.1	576
KP893385.1	576
KP400525.1	573
JQ837276.1	573
KR014106.1	565
JFVF01000080.1	565
AFPR01000540.1	564
HE983996.1	564
CP009233.1	562
KX756453.1	558
AIGD01000018.1	552
CP000857.1	549
KP400525.1	546
HE983995.1	543
JN704639.1	543
JFHO01000247.1	543
CAHS01000016.1	540
FIIQ01000003.1	540
APYD01000144.1	539
FR775234.1	537
HE795043.1	537
CCYY01000001.1	537
BX908798.1	531
FJ628170.1	531
JX570731.1	529
CP000352.1	528
CPVS01000003.1	528
AL590842.1	527
AKNE01000024.1	525
KF601686.2	522
CXDB01000323.1	522
CU459003.1	519
JNNA01000051.1	519
FN806773.1	516
CCVZ01000009.1	516
CP000352.1	516
AGBB01000127.1	513
CBTV010000136.1	510
JFHO01000232.1	510
FO818637.1	510
JX570731.1	509
KF295829.1	504
JX077110.1	504
KU682280.1	504
JX077110.1	504
KP987218.1	504
CCRM01000135.1	499
ADNV01000324.1	498
JN849689.1	492
CBYB010000003.1	486
KX646543.1	486
CP009632.1	483
CP002880.1	483
U66845.1	481
JX442974.1	480
AEEJ01000034.1	480
ALWR01000001.1	480
AJ439607.2	480
CAGJ01000211.1	477
Y17750.1	475
CU459003.1	474
AMGB01000016.1	474
LOMY01000027.1	468
KM583817.1	468
FIKS01000003.1	468
EU636005.1	465
BX936398.1	465
CQBA01000027.1	465
CBZM010000369.1	462
CAOC01000088.1	462
BX936398.1	459
FAVL01000073.1	459
AJ430202.1	459
KP987215.1	459
AL513382.1	459
FBYD01000004.1	459
FR877557.1	459
FO704551.1	456
JX442974.1	456
CAVM010000213.1	456
JQ611726.1	456
CBSX010000099.1	456
FO203427.1	453
KJ488943.1	453
AY786980.1	451
ALDG01000161.1	450
CP007448.1	450
CP000645.1	450
KF861983.1	450
AY786981.1	449
AM260957.1	449
AKNM01000008.1	447
AKNT01000004.1	447
FR718867.1	446
AY786982.1	446
AB025195.1	445
AP013353.1	444
GU371929.1	444
AF282853.1	440
CBTB010000226.1	438
AF408195.1	438
AE014299.2	438
JRLK01000014.1	438
CP003069.1	438
AF130439.1	438
AMFJ01010795.1	436
AYLO01000004.1	435
FLQY01000035.1	432
FO203427.1	432
ACGS02000049.1	432
AKNO01000001.1	429
AP011943.1	429
AKOF01000005.1	429
AKPD01000014.1	429
JN968483.3	429
AKPB01000021.1	429
AKPM01000005.1	429
AKOE01000003.1	429
AKOP01000009.1	429
CT573071.1	426
AM420293.1	423
CU459003.1	420
JN788266.1	420
FJ744165.1	419
AH013325.2	417
KU736874.1	417
U95957.1	417
AL513382.1	414
CP013215.1	414
CP000352.1	411
JN412066.1	411
HM371194.1	411
ADNY01000061.1	411
CBZT010000006.1	408
Y17749.1	407
CDAF01000046.1	405
APZX01000083.1	405
CAHS01000022.1	402
CP000352.1	402
AY545598.5	402
KX029332.1	402
AZXZ01000020.1	402
FN649418.1	401
EF682209.1	399
KM975501.1	399
CXAQ01000302.1	396
KR780671.1	396
JN106171.1	393
CP000042.1	393
AY509004.1	393
GU327621.1	393
CT573071.1	390
AM235768.1	390
KR258747.1	387
CAGD01000038.1	384
Y10102.1	384
JN415682.1	384
AKOV01000003.1	381
FJ628167.2	381
X87814.1	379
CP006582.1	378
CP002196.1	378
KP893385.1	378
CP002474.1	378
EU935738.1	375
FR718870.1	372
CP002124.1	372
CP002572.1	369
AKNZ01000001.1	369
AKOI01000002.1	369
AY607094.1	367
JGVR01000088.1	366
AE014299.2	366
CP002124.1	366
JX077110.1	366
KT988018.1	366
FN806773.1	363
Z96935.2	361
AM260957.1	360
CP007448.1	360
HG322949.1	360
JX077110.1	357
AP017356.1	357
AYLZ02000164.1	357
CQDS01000010.1	357
FQ482074.1	357
KM055106.1	356
AIGV01000005.1	354
AAMK02000010.1	354
JX077110.1	351
JX077110.1	351
JX194160.1	345
AAWD01000085.1	345
JX486125.1	345
AE017355.1	345
CCYR01000042.1	342
AB576781.2	339
FN806773.1	339
CP000353.2	339
KJ933392.1	339
JN048641.1	338
JQ364968.1	336
JNMH01000096.1	335
KR071788.1	333
FO117623.1	333
HM560971.1	333
AY033500.1	330
FN822748.1	327
CP000354.2	327
CP000354.2	327
KU356987.1	327
KU736879.1	324
JOQE01000050.1	324
AB238971.1	324
AE014299.2	323
AY305378.1	321
CP006582.1	321
BX908798.1	321
CP002474.1	321
CP006582.1	318
AY036070.1	318
EU213261.1	317
FN806773.1	315
AOEK01000039.1	313
JN788266.1	311
Y17741.1	311
CWGN01000004.1	309
CPYL01000013.1	309
KU736877.1	309
KU736877.1	309
KF743817.1	309
LN831024.1	309
CPXZ01000006.1	309
CWJB01000066.1	309
Y18010.1	307
Y17746.1	307
CP003170.1	306
JMNH01000090.1	306
EU366287.1	306
AEED01000028.1	300
JQ364968.1	300
AJ422229.1	298
CP007448.1	297
CP000353.2	297
CAGQ01000006.1	294
JQDP01000150.1	294
AB052615.1	294
CWJK01000021.1	294
AKTQ01000530.1	294
KJ507131.1	291
AB976569.1	290
JN106169.1	288
FN822745.1	285
LM676407.1	285
CP008804.1	285
CDAD01000043.1	285
AF439538.1	285
CTEG01000053.1	285
CDAC01000059.1	285
CCYP01000076.1	285
AF492560.1	282
AP012555.1	282
AY266269.1	282
JX627737.1	282
JN106167.1	279
KJ488943.1	279
CP002290.1	279
ACZD01000117.1	279
AM286690.1	279
CQBN01000015.1	279
CPUZ01000016.1	279
CWJI01000014.1	279
CQER01000011.1	279
ISSod34	279
CP000354.2	279
AM286690.1	279
KF753688.1	279
CQBM01000011.1	279
CTKN01000016.1	279
CTIT01000004.1	279
CTEV01000041.1	279
CTIU01000047.1	279
CTJA01000058.1	279
CQAZ01000119.1	279
JX469831.1	276
CP001834.1	276
KP893385.1	276
ISSod1	276
AP012976.1	276
AY780631.1	276
HG322949.1	276
AFNV02000029.1	274
AY365117.2	273
CP000353.2	273
AQDS01000033.1	273
HE858529.1	270
AP010935.1	270
KU736874.1	267
KU736877.1	267
CPXB01000043.1	267
KJ933392.1	267
AMBZ01000002.1	264
HG322949.1	264
KU736877.1	264
CP000352.1	264
CP003505.2	264
CBZT010000036.1	264
JFCD01000189.1	262
GU371929.1	261
KC958437.1	258
AIFX01000023.1	255
BX950851.1	255
CP009555.1	255
JGDD01000078.1	254
CP009998.1	252
AKOO01000012.1	246
AY509004.1	243
KU059995.1	243
CP009654.1	243
AIGS01000013.1	240
AIGK01000078.1	240
KM877517.1	240
EU693239.1	237
AE014299.2	237
JFCC01000030.1	237
JNQU01000129.1	235
CP001843.1	234
JQ269335.1	234
JZEK01000012.1	231
CP003901.1	228
KP893385.1	228
CP013054.1	225
KP698941.1	223
AKQH01000002.1	222
CAHS01000015.1	222
AMTK01000088.1	221
JFXZ01000009.1	219
JEVW01000090.1	219
FR719187.1	219
JNRA01000043.1	216
ATNA01000084.1	216
CP000042.1	216
HQ185697.1	215
CPVL01000010.1	213
AQCY01000032.1	210
LC054839.1	210
AQAB01000114.1	210
APXN01000234.1	210
JN106170.1	207
CYFN01000093.1	204
CP000633.1	204
KJ933392.1	204
KJ933392.1	204
JFWY01000082.1	201
JJLV01000020.1	198
CP016447.1	195
CP006581.1	195
GU371927.1	194
KJ933392.1	192
AE014299.2	192
KC958437.1	192
CQBP01000019.1	189
CXZV01000027.1	189
JHDP01000136.1	186
AMFJ01009517.1	182
HG322949.1	180
CP007448.1	180
CVJX01000002.1	180
CP000857.1	180
AFOU01000228.1	180
JEYK02000027.1	177
CGBL01000035.1	177
JNMB01000144.1	177
JGBS01000024.1	174
MIPZ01000044.1	170
BAVB01000411.1	168
CCVN01000076.1	168
LYPG01000010.1	168
KC958437.1	168
AB066362.1	165
CQDL01000014.1	162
AE014299.2	162
CCBE010000021.1	162
HE577055.1	162
AKND01000034.1	162
CP000857.1	159
JOQC01000036.1	159
JN106169.1	159
AOCI01000152.1	156
AFQD01000081.1	156
JFEV01000096.1	155
JMNL01000234.1	155
FJ796871.1	153
AF028594.1	153
JOQO01000082.1	153
CBWX010000001.1	153
JEXN01000001.1	152
HE858529.1	150
AMUO01000285.1	150
CAGQ01000078.1	150
JEXJ01000286.1	144
CP008760.1	141
KU743384.1	141
EU402605.1	139
CIOV01000001.1	138
CP000857.1	138
JEWB01000253.1	137
JMNZ01000214.1	135
CGIA01000008.1	132
LN890520.1	132
CP009794.1	132
AFCH01000014.1	132
KC292503.1	132
LN868943.1	132
AJ582645.1	130
ACFM01000014.1	129
JNMN01000048.1	127
AGOH01000001.1	126
AGOO01000004.1	126
AGNY01000003.1	126
AGQK01000001.1	123
AGON01000005.1	123
JORH01000069.1	120
AM231748.2	119
JNPC01000004.1	118
JNPT01000023.1	117
AH002795.3	116
JNRU01000074.1	115
CP007448.1	114
EU402605.1	114
JEWH01000133.1	114
LJXB01000063.1	111
KM877517.1	108
APYH01000091.1	106
AODZ01000132.1	105
JEYC01000208.1	102
L10909.1	102
AJ698325.1	900
AJ698325.1	1275
AJ698325.1	447
EU287476.1	2966
JX194160.1	1020
JX194160.1	459
JX194160.1	288
CP014358.1	249
AE017042.1	1199
CP001621.1	543
CXLK01000124.1	318
CQHS01000038.1	753
KU665641.1	675
CP012683.1	2967
KU665641.1	825
KU665641.1	969
CP012683.1	429
CP014358.1	267
HE983995.1	1881
FJNY01000001.1	1419
KU665642.1	1185
AE017042.1	1125
FJNZ01000004.1	378
AKNI01000033.1	237
KU665641.1	588
KU665642.1	213
FJNZ01000013.1	1419
CP001621.1	543
CP001621.1	543
KU665641.1	504
CP014358.1	147
KU665642.1	1269
CP014358.1	858
AMUG01000161.1	246
LN890520.1	459
LN890520.1	459
CP001621.1	543
EU219534.1	225
EU219534.1	207
KR822246.1	528
EU219534.1	453
AE014300.1	1160
AAYX01000002.1	861
AE014300.1	219
AE014300.1	250
AE014300.1	1153
AE014300.1	1030
AE014300.1	942
AE014300.1	1215
AE014300.1	1232
AE014300.1	2550
AE014300.1	1203
AE014300.1	759
AE014300.1	189
AE014300.1	1988
AE014300.1	558
AE014300.1	546
AE014300.1	453
AE014300.1	2967
CEGG01000033.1	720
JX127248.1	213
KR822247.1	2988
KJ721803.1	495
CBTR010000003.1	3081
FR875157.1	3027
CXOJ01000027.1	2994
FN597644.1	2967
JFHO01000231.1	2895
FMJB01000022.1	2883
ADFW01000001.1	2421
CP000831.1	2319
CP002153.1	1458
HE577054.1	1176
HE572590.1	1080
AJ245436.1	1068
AB238971.1	1035
JN648090.1	975
CP003730.1	921
HG916853.1	915
CAGD01000038.1	870
HG916826.1	855
AF550679.1	804
CP002879.1	624
LT608328.1	429
CP001894.1	360
AY208917.2	330
BX248356.1	303
KF743818.1	263
FR775255.1	204
AKND01000034.1	162
CAHS01000014.1	138
AIHH01000057.1	123
AJ877225.1	567
HG916826.1	390
HQ840942.1	1209
KX709966.1	2097
HG916826.1	951
AY463797.8	858
HG916826.1	1029
KJ541071.1	1545
LT599053.1	840
AY849557.2	1139
LT599053.1	891
AY849557.2	291
AY849557.2	261
LT599053.1	276
AJ431260.1	2967
JFHO01000231.1	2880
HE572590.1	1080
HE578058.1	924
HE798556.1	642
DQ126685.1	552
CP000831.1	525
ADFW01000001.1	504
CP002879.1	387
AB238971.1	153
AM261760.1	2967
AJ877225.1	981
HG916826.1	546
HG918041.1	831
AY849557.2	1142
LT599053.1	675
LT599053.1	276
FR875157.1	3030
CP002151.1	2967
CP001894.1	1863
CP002879.1	1422
CDAZ01000010.1	1302
FR854064.1	1020
HE577054.1	588
HG916826.1	534
CAHS01000014.1	390
HE577112.1	327
HG916853.1	231
CP002367.1	216
AJ877225.1	2970
AY849557.2	1157
AF550679.1	1033
HE578058.1	924
FJ948173.1	600
CP005961.1	540
CP002153.1	2967
CP001894.1	1110
HG916853.1	1071
HG916826.1	618
HG918041.1	510
HE577054.1	213
AJ877225.1	828
HE578057.1	1239
HE578057.1	378
HG916853.1	306
HE577054.1	294
HG916826.1	747
AB088420.3	1302
EU250284.1	767
CP000352.1	1539
EU402605.1	1137
CCYE01000010.1	3015
AB088420.3	3015
FJ187822.1	738
KJ817377.1	1371
KF719970.1	504
KF719970.1	636
KF056330.2	1449
KP347127.1	1572
KJ541068.1	1305
CP003376.1	822
AM849110.1	1530
AM849110.1	1530
KC414929.1	204
